case_id,nifti_found,centerline_ok,landmarks_ok,coronary_plane_ok,lad_plane_ok,crown_ellipse_ok,lad_ellipse_ok,statistics_eligible,failure_reason
1.label,True,True,True,True,True,True,True,True,
2.label,True,True,True,True,True,True,True,True,
3.label,True,True,True,True,True,True,True,True,
4.label,True,True,True,True,True,True,True,True,
5.label,True,True,True,True,True,True,True,True,
6.label,True,True,True,True,True,True,True,True,
7.label,True,True,True,True,True,True,True,True,
8.label,True,True,True,True,True,True,True,True,
9.label,True,True,True,True,True,True,True,True,
10.label,True,True,True,True,True,True,True,True,
11.label,True,True,True,True,True,True,True,True,
12.label,True,True,True,True,True,True,True,True,
13.label,True,True,True,True,True,True,True,True,
14.label,True,True,True,True,True,True,True,True,
15.label,True,True,True,True,True,True,True,True,
16.label,True,True,True,True,True,True,True,True,
17.label,True,True,True,True,True,True,True,True,
18.label,True,True,True,True,True,True,True,True,
19.label,True,True,True,True,True,True,True,True,
20.label,True,True,True,True,True,True,True,True,
21.label,True,True,True,True,True,True,True,True,
22.label,True,True,True,True,True,True,True,True,
23.label,True,True,True,True,True,True,True,True,
24.label,True,True,True,True,True,True,True,True,
25.label,True,True,True,True,True,True,True,True,
26.label,True,True,True,True,True,True,True,True,
27.label,True,True,True,True,True,True,True,True,
28.label,True,True,True,True,True,True,True,True,
29.label,True,True,True,True,True,True,True,True,
30.label,True,True,True,True,True,True,True,True,
31.label,True,True,True,True,True,True,True,True,
32.label,True,True,True,True,True,True,True,True,
33.label,True,True,True,True,True,True,True,True,
34.label,True,True,True,True,True,True,True,True,
35.label,True,True,True,True,True,True,True,True,
36.label,True,True,True,True,True,True,True,True,
37.label,True,True,True,True,True,True,True,True,
38.label,True,True,True,True,True,True,True,True,
39.label,True,True,True,True,True,True,True,True,
40.label,True,True,True,True,True,True,True,True,
41.label,True,True,True,True,True,True,True,True,
42.label,True,True,True,True,True,True,True,True,
43.label,True,True,True,True,True,True,True,True,
44.label,True,True,True,True,True,True,True,True,
45.label,True,True,True,True,True,True,True,True,
46.label,True,True,True,True,True,True,True,True,
47.label,True,True,True,True,True,True,True,True,
48.label,True,True,True,True,True,True,True,True,
49.label,True,True,True,True,True,True,True,True,
50.label,True,True,True,True,True,True,True,True,
51.label,True,True,True,True,True,True,True,True,
52.label,True,True,True,True,True,True,True,True,
53.label,True,True,True,True,True,True,True,True,
54.label,True,True,True,True,True,True,True,True,
55.label,True,True,True,True,True,True,True,True,
56.label,True,True,True,True,True,True,True,True,
57.label,True,True,True,True,True,True,True,True,
58.label,True,True,True,True,True,True,True,True,
59.label,True,True,True,True,True,True,True,True,
60.label,True,True,True,True,True,True,True,True,
61.label,True,True,True,True,True,True,True,True,
62.label,True,True,True,True,True,True,True,True,
63.label,True,True,True,True,True,True,True,True,
64.label,True,True,True,True,True,True,True,True,
65.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
66.label,True,True,True,True,True,True,True,True,
67.label,True,True,True,True,True,True,True,True,
68.label,True,True,True,True,True,True,True,True,
69.label,True,True,True,True,True,True,True,True,
70.label,True,True,True,True,True,True,True,True,
71.label,True,True,True,True,True,True,True,True,
72.label,True,True,True,True,True,True,True,True,
73.label,True,True,True,True,True,True,True,True,
74.label,True,True,True,True,True,True,True,True,
75.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
76.label,True,True,True,True,True,True,True,True,
77.label,True,True,True,True,True,True,True,True,
78.label,True,True,True,True,True,True,True,True,
79.label,True,True,True,True,True,True,True,True,
80.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
81.label,True,True,True,True,True,True,True,True,
82.label,True,True,True,True,True,True,True,True,
83.label,True,True,True,True,True,True,True,True,
84.label,True,True,True,True,True,True,True,True,
